"fill","Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"二氧化碳排放总量","JPN","Japan",1094705.84,1100598.71,1123660.48,1108673.45,1174169.73,1184088.97,1205782.94,1201778.58,1159186.37,1197880.56,1219592.86,1202266.29,1216761.94,1237242.13,1259658.5,1238188.22,1231770.97,1251187.73,1208162.82,"东亚和太平洋地区"
"二氧化碳排放总量","KAZ","Kazakhstan",NA,NA,261306.75,221105.43,199488.47,166731.16,140691.79,129580.78,125063.04,116493.26,127769.28,147908.45,151945.81,153815.98,172158.32,177233.44,192121.46,227401.67,236954.21,"欧洲和中亚"
"二氧化碳排放总量","KEN","Kenya",5823.2,4840.44,5540.84,6347.58,6556.6,7554.02,9328.85,8265.42,10036.58,10172.26,10417.95,9369.19,7968.39,6754.61,7623.69,8562.45,9574.54,9831.23,10392.28,"撒哈拉以南非洲"
"二氧化碳排放总量","KGZ","Kyrgyz Republic",NA,NA,10861.65,8305.76,6061.55,4473.74,5588.51,5482.17,5823.2,4561.75,4528.75,3780.68,4847.77,5276.81,5606.84,5185.14,5170.47,6461.25,6208.23,"欧洲和中亚"
"二氧化碳排放总量","KHM","Cambodia",451.04,462.04,476.71,476.71,539.05,1437.46,1628.15,1906.84,2233.2,2196.53,2255.21,2643.91,2860.26,3127.95,3498.32,3722.01,4074.04,4440.74,4602.09,"东亚和太平洋地区"
"二氧化碳排放总量","KIR","Kiribati",22,22,22,22,22,22,36.67,29.34,33,29.34,33,25.67,25.67,25.67,25.67,25.67,29.34,33,29.34,"东亚和太平洋地区"
"二氧化碳排放总量","KNA","St. Kitts and Nevis",66.01,73.34,73.34,84.34,88.01,95.34,102.68,102.68,102.68,102.68,102.68,183.35,198.02,220.02,227.35,234.69,234.69,249.36,249.36,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","KOR","Korea, Rep.",243815.16,268431.73,286568.72,317085.49,340352.61,370781.37,401030.45,423175.47,363839.74,395005.57,432460.31,440216.02,465584.32,465771.34,482276.51,462918.41,470820.8,498205.95,509170.28,"东亚和太平洋地区"
"二氧化碳排放总量","KSV","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"欧洲和中亚"
"二氧化碳排放总量","KWT","Kuwait",45423.13,10579.3,17612.6,29376.34,34436.8,50329.58,47674.67,49361.49,51088.64,53314.51,59112.04,55144.35,52727.79,61653.27,69529.99,77216.02,71950.21,73002.64,76742.98,"中东和北非"
